repo,issue,group,category,title,reported_version,fix_pr,merged_at,presence_version,warning,note
qdrant,9421,A,TP_FIXED_PR,`POST /cluster/recover` returns HTTP 500 in standalone mode — should return 4xx,v1.18.2,qdrant/qdrant#9431,2026-06-25T10:49:54Z,v1.18.2,,fix-PR(code) merged_at 前最近 server release; 1 个未merge PR 见 pr-evidence.json
qdrant,9520,A,TP_FIXED_PR,Server crash on collection creation with shard_number=INT_MAX — missing upper-bo,v1.18.2,qdrant/qdrant#9594,2026-06-29T11:03:44Z,v1.18.2,,fix-PR(code) merged_at 前最近 server release; 1 个未merge PR 见 pr-evidence.json
qdrant,9522,A,TP_FIXED_PR,Query API silently returns 200 OK when lookup_from references a non-existent col,v1.18.2,qdrant/qdrant#9531,2026-07-15T11:54:37Z,v1.18.2,,fix-PR(code) merged_at 前最近 server release
qdrant,10120,A,TP_FIXED_PR,`count` `exact=false` on `is_empty` under-counts ~35% consistently; `is_null` on,v1.18.3,qdrant/qdrant#10128,2026-08-08T15:54:55Z,v1.19.0,,fix-PR(code) merged_at 前最近 server release
weaviate,11399,A,TP_FIXED_PR,dynamicEfMin > dynamicEfMax accepted during collection creation (no validation),v1.37.4,,,v1.37.4,,无 merged fix-PR(1候选) → 保守取报告版本; 1 个未merge PR 见 pr-evidence.json
weaviate,11400,A,TP_FIXED_PR,flatSearchCutoff accepts negative values (no validation),v1.37.4,,,v1.37.4,,无 merged fix-PR(1候选) → 保守取报告版本; 1 个未merge PR 见 pr-evidence.json
weaviate,11401,A,TP_FIXED_PR,replicationFactor=-1 accepted and silently normalized to 1 (no validation),v1.37.4,,,v1.37.4,,无 merged fix-PR(3候选) → 保守取报告版本; 3 个未merge PR 见 pr-evidence.json
weaviate,11729,A,TP_FIXED_PR,shardingConfig.desiredCount accepts negative values but rejects zero,v1.38.0,weaviate/weaviate#11824,2026-06-24T00:47:10Z,v1.38.1,,fix-PR(code) merged_at 前最近 server release
weaviate,11730,A,TP_FIXED_PR,tokenization accepts empty string despite explicit OpenAPI enum constraint,v1.38.0,,,v1.38.0,,无 merged fix-PR(1候选) → 保守取报告版本; 1 个未merge PR 见 pr-evidence.json
weaviate,11732,A,TP_FIXED_PR,vectorIndexConfig.distance silently accepts null and defaults to cosine,v1.38.0,,,v1.38.0,,无 merged fix-PR(1候选) → 保守取报告版本; 1 个未merge PR 见 pr-evidence.json
weaviate,11741,A,TP_FIXED_PR,Tenant creation accepts empty string for activityStatus,v1.38.0,,,v1.38.0,,无 merged fix-PR(1候选) → 保守取报告版本; 1 个未merge PR 见 pr-evidence.json
weaviate,12041,A,TP_FIXED_PR,Batch delete returns HTTP 500 instead of 422 when match.where or match.class is ,v1.38.2,weaviate/weaviate#12049,2026-07-08T06:40:48Z,v1.38.2,,fix-PR(code) merged_at 前最近 server release
milvus,47635,B,TP_ACK_CLOSED_NOFIX,[Bug]: Search fails with Code 0 immediately after Collection.load() returns succ,v2.3.22,,,v2.3.22,,B组:报告版本即存在版本
milvus,47729,B,TP_ACK_OPEN,[Bug]: Index parameter nprobe validation missing - accepts nprobe=0,v2.6.10,,,v2.6.10,,B组:报告版本即存在版本
milvus,47752,B,TP_ACK_CLOSED_NOFIX,[Bug]: Index parameter ef validation missing - accepts ef=0,v2.6.10,,,v2.6.10,,B组:报告版本即存在版本
milvus,47755,B,TP_ACK_CLOSED_NOFIX,[Bug]: Filter expression validation too lenient,v2.6.10,,,v2.6.10,,B组:报告版本即存在版本
milvus,47766,B,TP_ACK_CLOSED_NOFIX,[Bug]: Data type validation missing - accepts integer into string field,v2.6.10,,,v2.6.10,,B组:报告版本即存在版本
milvus,49059,B,TP_ACK_CLOSED_NOFIX,[Bug]: COSINE Metric Returns Distance > 1.0 for Identical Vectors (Precision Ove,v2.6.12,,,v2.6.12,,B组:报告版本即存在版本
milvus,49823,B,TP_ACK_OPEN,[Bug]: REST API v2 accepts nprobe=0 in search requests without validation,v2.6.16,,,v2.6.16,,B组:报告版本即存在版本
milvus,49889,B,TP_ACK_OPEN,[Bug]: REST API v2 accepts empty string for `dbName` parameter,v2.6.16,,,v2.6.16,,B组:报告版本即存在版本
milvus,49930,B,TP_ACK_OPEN,"[Bug]: REST API v2 accepts invalid searchParams (ef=0/-1 for HNSW, nprobe=0/-1 f",v2.6.16,,,v2.6.16,,B组:报告版本即存在版本
milvus,50018,B,TP_ACK_CLOSED_NOFIX,[Bug]: REST API v2 aliases/list accepts empty collectionName while other endpoin,v2.6.16,,,v2.6.16,,B组:报告版本即存在版本
milvus,50323,B,TP_ACK_OPEN,[Bug]: Delete endpoint accepts both filter and ids (mutually exclusive) silently,v2.6.17,,,v2.6.17,,B组:报告版本即存在版本
milvus,50353,B,TP_ACK_OPEN,[Bug]: REST API v2: search returns HTTP 200 for limit=0/-1 and dimension mismatc,v2.6.17,,,v2.6.17,,B组:报告版本即存在版本
milvus,50354,B,TP_ACK_OPEN,"[Bug]: REST API v2: password complexity not enforced — ""abcdefgh"" accepted on us",v2.6.17,,,v2.6.17,,B组:报告版本即存在版本
milvus,52308,B,TP_DUP_TRACKED,[Bug]: REST API v2 `entities/insert` accepts string numbers for Int64 primary ke,v3.0.0,,,v3.0.0,,B组:报告版本即存在版本
milvus,52310,B,TP_DUP_TRACKED,[Bug]: REST API v2 `entities/insert` silently coerces scalar types (string→Int64,v3.0.0,,,v3.0.0,,B组:报告版本即存在版本
milvus,52312,B,TP_DUP_TRACKED,[Bug]: REST API v2 `entities/upsert` accepts string numbers for Int64 primary ke,v3.0.0,,,v3.0.0,,B组:报告版本即存在版本
milvus,52314,B,TP_ACK_OPEN,[Bug]: REST API v2 `entities/upsert` silently coerces scalar types (string→DOUBL,v3.0.0,,,v3.0.0,,B组:报告版本即存在版本
