constraint_id,vendor,endpoint,type,assertion,description,source_url,url_kind,page_captured,verdict_page_supports,verdict_is_documentation,note
milvus_range_ivf_sq8_nprobe_001,milvus,entities+search,range_constraint,"nprobe in [1, nlist]",nprobe parameter for IVF_SQ8 search,https://milvus.io/docs/index.md,vendor-documentation,NO,,,
milvus_range_scann_nprobe_001,milvus,entities+search,range_constraint,"nprobe in [1, nlist]",nprobe parameter for SCANN search,https://milvus.io/docs/index.md,vendor-documentation,NO,,,
milvus_range_users_create_001,milvus,users+create,range_constraint,8 <= len(password) <= 64,password must be 8-64 characters,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_state_collections_create_001,milvus,collections+create,state_constraint,collection creation is atomic AND collectionName is unique within dbName,Collection creation is atomic; collection name must be unique within a database,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_state_collections_drop_001,milvus,collections+drop,state_constraint,drop is irreversible AND all data is permanently deleted,Drop is irreversible; all data in the collection is permanently deleted,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md,vendor-documentation,yes,,,
milvus_state_collections_rename_001,milvus,collections+rename,state_constraint,source collection exists AND new collection name does NOT exist,Collection must exist; new name must not already exist,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Rename.md,vendor-documentation,yes,,,
milvus_state_databases_drop_001,milvus,databases+drop,state_constraint,dbName != '_default' AND database has no collections,Cannot drop the default database; database must be empty (no collections),https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_state_entities_delete_001,milvus,entities+delete,state_constraint,delete is irreversible,Deleted entities cannot be recovered,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_state_entities_insert_001,milvus,entities+insert,state_constraint,collection exists AND is loaded AND (autoID OR primary key provided),"Collection must exist and be loaded; if autoID is disabled, primary key must be provided",https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_state_entities_search_001,milvus,entities+search,state_constraint,collection is loaded AND index exists on annsField,Collection must be loaded; index must exist on annsField,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,vendor-documentation,yes,,,
milvus_state_entities_upsert_001,milvus,entities+upsert,state_constraint,"upsert: update if PK exists, insert if NOT; collection has PK defined","If primary key exists, entity is updated; if not, inserted. Collection must have a primary key defined",https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_state_entities_upsert_002,milvus,entities+upsert,state_constraint,for updates: PK value matches existing entity PK,Primary key must match existing entity's key for updates,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_state_group_by_field_001,milvus,entities+search,state_constraint,group_by_field refers to a scalar (non-vector) field,group_by_field must be a scalar field (grouping by vector field not supported),https://raw.githubusercontent.com/milvus-io/milvus-docs/99af7351/site/en/userGuide/search-query-get/grouping-search.md,doc-markdown-raw,yes,,,
milvus_state_indexes_create_001,milvus,indexes+create,state_constraint,collection exists AND field exists in schema,Collection must exist; field must exist in schema,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_state_insert_collection_001,milvus,entities+insert,state_constraint,collection MUST exist before insert,Insert requires existing collection,https://milvus.io/docs/schema.md,vendor-documentation,yes,,,
milvus_state_jobs_import_create_001,milvus,jobs+import+create,state_constraint,files exist in object storage,Files must be pre-staged in object storage before import,https://milvus.io/api-reference/restful/v2.6.x/v2/Import%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_state_search_load_001,milvus,entities+search,state_constraint,collection MUST be loaded before search,Search requires collection to be loaded,https://milvus.io/docs/single-vector-search.md,vendor-documentation,yes,,,
milvus_state_search_requires_load_001,milvus,entities+search,state_constraint,collection.load_state == 'loaded' before search,Collection must be loaded before searching,https://milvus.io/docs/single-vector-search.md,vendor-documentation,yes,,,
milvus_type_collections_create_001,milvus,collections+create,type_constraint,collectionName is of type string,collectionName must be a string,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_type_collections_create_002,milvus,collections+create,type_constraint,"metricType in ['L2', 'IP', 'COSINE']","metricType must be L2, IP, or COSINE",https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_type_collections_create_003,milvus,collections+create,type_constraint,"consistencyLevel in ['Strong', 'Session', 'Bounded', 'Eventually']","consistencyLevel must be Strong, Session, Bounded, or Eventually",https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md,vendor-documentation,yes,,,
milvus_type_collections_drop_001,milvus,collections+drop,type_constraint,collectionName is non-empty string,collectionName must be a non-empty string,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md,vendor-documentation,yes,,,
milvus_type_collections_load_001,milvus,collections+load,type_constraint,collectionName is non-empty string,collectionName must be a non-empty string for load,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Load.md,vendor-documentation,yes,,,
milvus_type_collections_rename_001,milvus,collections+rename,type_constraint,collectionName is non-empty string AND newCollectionName is non-empty string,collectionName and newCollectionName must be non-empty strings,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Rename.md,vendor-documentation,yes,,,
milvus_type_entities_delete_001,milvus,entities+delete,type_constraint,filter is a valid boolean expression,filter must be a valid boolean expression string,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_type_entities_get_001,milvus,entities+get,type_constraint,id type matches collection primary key type,id must match the collection primary key type (Int64 or VarChar),https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Get.md,vendor-documentation,yes,,,
milvus_type_entities_insert_001,milvus,entities+insert,type_constraint,data field types match collection schema,data must contain field values matching collection schema data types,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_type_entities_query_001,milvus,entities+query,type_constraint,filter is a valid boolean expression,filter must be a valid boolean expression string,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_type_entities_search_001,milvus,entities+search,type_constraint,data is array[array[float]] AND annsField is a vector field AND limit > 0,"data must be array of float arrays, annsField must be a vector field, limit must be positive integer",https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md,vendor-documentation,yes,,,
milvus_type_entities_upsert_001,milvus,entities+upsert,type_constraint,data contains primary key field,Primary key field must be specified in data for upsert,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_type_hybrid_search_001,milvus,entities+hybrid_search,type_constraint,len(search) >= 2,search array must contain at least 2 elements for hybrid search,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_type_indexes_create_001,milvus,indexes+create,type_constraint,metricType is valid for field AND index_type in supported list,metricType must be valid for the field type; index_type must be one of the supported types,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
milvus_type_request_timeout_001,milvus,entities+query,state_constraint,header Request-Timeout matches ^[0-9]+$ (non-integer rejected),Request-Timeout header must be an integer,https://milvus.io/api-reference/restful/v2.3.x/v2/Vector%20(v2)/Query.md,vendor-documentation,NO,,,
milvus_type_users_create_001,milvus,users+create,type_constraint,userName is non-empty string,userName must be a non-empty string,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go,implementation-source,yes,,,
qdrant_behavioral_001,qdrant,collections+{collection_name},,,200 on success; 4XX on invalid params or collection already exists,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,vendor-documentation,yes,,,
qdrant_behavioral_002,qdrant,collections+{collection_name},,,200 on success; 404 if collection not found,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_003,qdrant,collections+{collection_name},,,200 with collection info; 404 if not found,https://api.qdrant.tech/v-1-18-x/api-reference/collections/get-collection,vendor-documentation,yes,,,
qdrant_behavioral_004,qdrant,collections+{collection_name}+exists,,,Returns {'result': {'exists': true/false}},https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_005,qdrant,collections+{collection_name}+points,,,200 on success; 4XX on validation error,https://api.qdrant.tech/v-1-18-x/api-reference/points/upsert-points,vendor-documentation,yes,,,
qdrant_behavioral_006,qdrant,collections+{collection_name}+points,,,200 with matching points (missing IDs are silently omitted),https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_007,qdrant,collections+{collection_name}+points+delete,,,200 on success; 400 if neither points nor filter provided,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_008,qdrant,collections+{collection_name}+points+search,,,200 with ranked results descending by score; 4XX on invalid params,https://api.qdrant.tech/v-1-18-x/api-reference/search/points,vendor-documentation,yes,,,
qdrant_behavioral_009,qdrant,collections+{collection_name}+points+scroll,,,200 with points list and next_page_offset for pagination,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_010,qdrant,collections+{collection_name}+points+count,,,200 with count result,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_011,qdrant,collections+{collection_name}+points+query,,,200 with result points; supports multi-stage query pipeline via prefetch,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_012,qdrant,collections+{collection_name}+points+recommend,,,200 with ranked results,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_013,qdrant,collections+{collection_name}+index,,,200 on success; 4XX on invalid field name or field type,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_014,qdrant,collections+{collection_name}+index+{field_name},,,200 on success; 404 if index not found,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_015,qdrant,collections+aliases,,,200 on success; 4XX on invalid operations,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_behavioral_016,qdrant,collections+{collection_name}+points+payload,,,200 on success; 400 if no points or filter specified,https://api.qdrant.tech/v-1-18-x/api-reference/points/set-payload,vendor-documentation,yes,,,
qdrant_behavioral_017,qdrant,collections,,,200 with list of collections,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_range_create_collection_001,qdrant,collections+{collection_name},range_constraint,shard_number >= 1,shard_number minimum=1,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,vendor-documentation,yes,,,
qdrant_range_create_collection_002,qdrant,collections+{collection_name},range_constraint,replication_factor >= 1,replication_factor minimum=1,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,vendor-documentation,yes,,,
qdrant_range_create_collection_003,qdrant,collections+{collection_name},range_constraint,write_consistency_factor >= 1,write_consistency_factor minimum=1,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,vendor-documentation,yes,,,
qdrant_range_create_collection_004,qdrant,collections+{collection_name},range_constraint,timeout >= 1,timeout minimum=1,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,vendor-documentation,yes,,,
qdrant_range_query_points_008,qdrant,collections+{collection_name}+points+query,range_constraint,limit default=10 for query endpoint.,limit default=10,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_range_recommend_009,qdrant,collections+{collection_name}+points+recommend,range_constraint,"strategy IN (average_vector, best_score, sum_scores)","strategy must be one of: average_vector, best_score, sum_scores",https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_range_scroll_points_005,qdrant,collections+{collection_name}+points+scroll,range_constraint,limit default=10,limit default=10 (adjustable),https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_range_search_groups_007,qdrant,collections+{collection_name}+points+search+groups,range_constraint,group_size >= 1 AND limit >= 1,group_size >= 1; limit >= 1,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_range_search_points_006,qdrant,collections+{collection_name}+points+search,range_constraint,hnsw_ef parameter is applicable only when exact=false.,hnsw_ef applicable when exact=false,https://api.qdrant.tech/v-1-18-x/api-reference/search/points,vendor-documentation,yes,,,
qdrant_state_batch_update_007,qdrant,collections+{collection_name}+points+batch,state_constraint,Batch update operations are executed atomically.,All operations in batch are executed atomically,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_state_count_points_008,qdrant,collections+{collection_name}+points+count,state_constraint,exact=true performs a full scan; exact=false uses segment statistics.,exact=true performs full scan; exact=false uses segment statistics,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_state_create_collection_001,qdrant,collections+{collection_name},state_constraint,After 200 response the collection exists with the configuration as submitted; collections without vector config support payload-only operations (vector insert returns an error at use time),"Atomic collection creation: after 200 response, collection is fully initialized and ready for operations",https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,vendor-documentation,yes,,,
qdrant_state_create_index_011,qdrant,collections+{collection_name}+index,state_constraint,Index creation is asynchronous; query optimization applies after the index is built.,Index creation is async; query optimization applies after index is built,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_state_delete_collection_003,qdrant,collections+{collection_name},state_constraint,Collection deletion permanently removes the collection and all its data.,Destructive operation - permanently deletes collection and all its data,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_state_delete_points_005,qdrant,collections+{collection_name}+points+delete,state_constraint,Point deletion is atomic for the matched set.,Deletion is atomic for the matched set,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_state_query_points_010,qdrant,collections+{collection_name}+points+query,state_constraint,"prefetch queries execute first, then the final query runs on combined results.","prefetch queries execute first, then final query runs on combined results",https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_state_remove_peer_013,qdrant,cluster+peer+{peer_id},state_constraint,force=true should only be used when peer is unreachable.,Destructive cluster operation; force=true only when peer is unreachable,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_state_search_points_009,qdrant,collections+{collection_name}+points+search,state_constraint,"When exact=true, search uses brute-force; when exact=false, search uses HNSW.","If exact=true, performs brute-force search (slow but accurate); if exact=false, uses HNSW for approximate search",https://api.qdrant.tech/v-1-18-x/api-reference/search/points,vendor-documentation,yes,,,
qdrant_state_set_payload_006,qdrant,collections+{collection_name}+points+payload,state_constraint,Payload set is atomic: all matched points receive the payload.,Atomic - all matched points get the payload,https://api.qdrant.tech/v-1-18-x/api-reference/points/set-payload,vendor-documentation,yes,,,
qdrant_state_update_aliases_012,qdrant,collections+aliases,state_constraint,All alias operations in a single request are applied atomically.,All alias operations in a single request are applied atomically,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_state_update_collection_002,qdrant,collections+{collection_name},state_constraint,Update blocks until current optimizations complete.,Blocking operation - waits for current optimizations to complete,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_state_upsert_points_004,qdrant,collections+{collection_name}+points,state_constraint,Batch upsert is atomic: all points are inserted or none.,Atomic batch upsert - all points inserted or none,https://api.qdrant.tech/v-1-18-x/api-reference/points/upsert-points,vendor-documentation,yes,,,
qdrant_type_create_collection_001,qdrant,collections+{collection_name},type_constraint,collection_name type is string,collection_name is string,https://api.qdrant.tech/v-1-18-x/api-reference/collections/create-collection,vendor-documentation,yes,,,
qdrant_type_lookup_from_001,qdrant,collections+points+query,state_constraint,lookup_from.collection exists in collections registry,lookup_from.collection must reference an existing collection (non-existent -> 400/404),https://github.com/qdrant/qdrant/blob/v1.18.2/docs/redoc/master/openapi.json,structured-spec,yes,,,
qdrant_type_overwrite_payload_004,qdrant,collections+{collection_name}+points+payload,type_constraint,PUT payload replaces the entire payload; it does not merge.,"Overwrite replaces entire payload, not merged",https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_type_update_collection_002,qdrant,collections+{collection_name},type_constraint,At least one update field must be provided.,All update fields are optional; at least one must be provided,https://api.qdrant.tech/v-1-18-x/api-reference,vendor-documentation,yes,,,
qdrant_type_upsert_points_003,qdrant,collections+{collection_name}+points,type_constraint,id type is integer (uint64) or UUID string; vector type is array of floats or object of named vectors; payload type is key-value object.,id is integer (uint64) or UUID string; vector is array of floats or object of named vectors; payload is key-value object,https://api.qdrant.tech/v-1-18-x/api-reference/points/upsert-points,vendor-documentation,yes,,,
weaviate_behavioral_batch_reject_partial_001,weaviate,POST /batch/objects,,,429 WHOLE BATCH rejected (no partial fill),https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_behavioral_index_update_001,weaviate,/schema/{className}/indexes/{propertyName} PUT,,,downgrading from blockmax algorithm is rejected,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_behavioral_objects_create_001,weaviate,/objects POST,,,POST with existing id fails; should return error not overwrite,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_behavioral_objects_create_002,weaviate,/objects POST,,,exceeding object count usage limit returns 429,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_behavioral_post_object_exists_001,weaviate,POST /objects,,,POST fails with error if id already exists (use PUT to replace or PATCH to update),https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_behavioral_schema_create_001,weaviate,/schema POST,,,creating collection with disallowed vectorIndexType returns 422 RestrictionViolationResponse,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_behavioral_schema_create_002,weaviate,/schema POST,,,exceeding collections/shards usage limit returns 429 UsageLimitExceededResponse,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_behavioral_tenants_create_001,weaviate,/schema/{className}/tenants POST,,,exceeding tenant usage limit returns 429 with limit: tenants,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_range_batch_delete_001,weaviate,/batch/objects DELETE;DELETE /batch/objects,range_constraint,deleted count <= QUERY_MAXIMUM_RESULTS,max deletions per request = QUERY_MAXIMUM_RESULTS (default 10000),https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_range_objects_list_001,weaviate,/objects GET,range_constraint,offset + limit <= 10000,offset+limit must not exceed QUERY_MAXIMUM_RESULTS (default 10000),https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
weaviate_range_replication_scale_001,weaviate,/replication/scale GET,range_constraint,replicationFactor >= 1,replicationFactor must be at least 1,https://github.com/weaviate/weaviate/blob/v1.38.0/openapi-specs/schema.json,structured-spec,yes,,,
